,Date,Date_Keys,DM8O3_Concentration,State_Fixed,O3_AQI,DM8CO_Concentration,CO_AQI,Mean_AQI
1794,2018-12,35,0.03305986560781904,Florida,30.61087354917532,0.4238255033557049,4.8087248322147635,17.70979919069504
1795,2018-12,35,0.026166666666666668,Georgia,24.25,0.6564516129032256,7.451612903225808,15.850806451612904
1796,2018-12,35,0.03623214285714285,Hawaii,33.44642857142857,0.24408602150537625,2.7419354838709675,18.09418202764977
1797,2018-12,35,0.031102272727272718,Idaho,28.72727272727273,0.6048387096774195,6.806451612903228,17.76686217008798
1798,2018-12,35,0.02187149187592313,Illinois,20.239290989660265,0.4309090909090909,4.927272727272729,12.583281858466497
1799,2018-12,35,0.02297783251231515,Indiana,21.2807881773399,0.44429530201342304,5.053691275167785,13.167239726253843
1800,2018-12,35,0.022921787709497186,Iowa,21.178770949720672,0.3393258426966291,3.707865168539326,12.443318059129998
1801,2018-12,35,0.026304832713754625,Kansas,24.371747211895908,0.4387096774193549,4.806451612903227,14.589099412399568
1802,2018-12,35,0.027887005649717488,Kentucky,25.79661016949153,0.3333333333333333,3.6774193548387095,14.737014762165119
1803,2018-12,35,0.028596850393700756,Louisiana,26.470866141732287,0.4053571428571427,4.5,15.485433070866144
1804,2018-12,35,0.03258888888888888,Maine,30.13888888888889,0.2537634408602153,2.720430107526881,16.429659498207887
1805,2018-12,35,0.026474025974025952,Maryland,24.5,0.3580952380952381,4.0285714285714285,14.264285714285714
1806,2018-12,35,0.030077999999999987,Massachusetts,27.868000000000002,0.396470588235294,4.552941176470588,16.210470588235296
1807,2018-12,35,0.02435238095238093,Michigan,22.53809523809524,0.5415335463258798,6.23961661341853,14.388855925756886
1808,2018-12,35,0.023836363636363617,Minnesota,22.063636363636366,0.4120418848167541,4.722513089005235,13.393074726320801
1809,2018-12,35,0.0269433962264151,Mississippi,24.981132075471695,0.28709677419354834,3.2258064516129035,14.1034692635423
1810,2018-12,35,0.02428333333333332,Missouri,22.5,0.4623655913978494,5.258064516129032,13.879032258064516
1811,2018-12,35,0.031773195876288636,Montana,29.412371134020614,0.15666666666666648,1.5666666666666669,15.48951890034364
1812,2018-12,35,0.025466666666666662,Nebraska,23.566666666666666,0.4677419354838711,5.241935483870968,14.404301075268817
1813,2018-12,35,0.03097472924187722,Nevada,28.64801444043321,0.9509677419354852,10.832258064516127,19.74013625247467
1814,2018-12,35,0.029622222222222206,New Hampshire,27.4,0.21290322580645168,2.1935483870967745,14.796774193548387
