,Date,STATE,DAILY_AQI_VALUE,Date_Keys,DM8CO_Concentration,State_Fixed
0,2016-01,Alabama,6.688172043010753,0,0.5860215053763442,Alabama
1,2016-01,Alaska,12.67741935483871,0,1.1161290322580646,Alaska
2,2016-01,Arizona,8.92258064516129,0,0.7790322580645157,Arizona
3,2016-01,Arkansas,5.419354838709676,0,0.4612903225806453,Arkansas
4,2016-01,California,6.754673962608299,0,0.5923392612859092,California
5,2016-01,Colorado,9.218978102189784,0,0.8043795620437966,Colorado
6,2016-01,Connecticut,4.741935483870968,0,0.42645161290322603,Connecticut
7,2016-01,Delaware,6.387096774193548,0,0.5612903225806454,Delaware
8,2016-01,District of Columbia,10.080645161290322,0,0.8887096774193546,District of Columbia
9,2016-01,Florida,4.985882352941177,0,0.4402352941176471,Florida
10,2016-01,Georgia,9.610169491525424,0,0.8525423728813559,Georgia
11,2016-01,Hawaii,6.387096774193548,0,0.5612903225806448,Hawaii
12,2016-01,Idaho,8.172043010752688,0,0.7161290322580643,Idaho
13,2016-01,Illinois,3.1666666666666665,0,0.2871794871794872,Illinois
14,2016-01,Indiana,4.552,0,0.4055999999999997,Indiana
15,2016-01,Iowa,3.2666666666666666,0,0.2966666666666665,Iowa
16,2016-01,Kansas,5.32258064516129,0,0.4483870967741936,Kansas
17,2016-01,Kentucky,4.096385542168675,0,0.3686746987951807,Kentucky
18,2016-01,Louisiana,4.870967741935483,0,0.4370967741935483,Louisiana
19,2016-01,Maine,3.0967741935483866,0,0.2870967741935484,Maine
20,2016-01,Maryland,4.032258064516129,0,0.3683870967741933,Maryland
21,2016-01,Massachusetts,4.297297297297297,0,0.3827027027027026,Massachusetts
22,2016-01,Michigan,4.741935483870968,0,0.4182795698924732,Michigan
23,2016-01,Minnesota,3.25,0,0.29433962264150954,Minnesota
24,2016-01,Mississippi,4.516129032258065,0,0.4161290322580645,Mississippi
25,2016-01,Missouri,4.594936708860758,0,0.3936708860759493,Missouri
26,2016-01,Montana,2.4576271186440684,0,0.23389830508474546,Montana
27,2016-01,Nebraska,5.596491228070176,0,0.4947368421052631,Nebraska
28,2016-01,Nevada,8.425925925925926,0,0.7398148148148151,Nevada
29,2016-01,New Hampshire,2.3548387096774195,0,0.23225806451612904,New Hampshire
30,2016-01,New Jersey,6.946236559139785,0,0.6096774193548387,New Jersey
31,2016-01,New Mexico,5.032258064516129,0,0.4451612903225805,New Mexico
32,2016-01,New York,4.003623188405797,0,0.36014492753623145,New York
33,2016-01,North Carolina,4.758064516129032,0,0.42096774193548375,North Carolina
34,2016-01,North Dakota,2.129032258064516,0,0.21290322580645168,North Dakota
35,2016-01,Ohio,4.248259860788863,0,0.3767981438515076,Ohio
36,2016-01,Oklahoma,4.1759259259259265,0,0.3777777777777778,Oklahoma
37,2016-01,Oregon,5.096774193548387,0,0.45322580645161303,Oregon
38,2016-01,Pennsylvania,5.041297935103246,0,0.4474926253687315,Pennsylvania
39,2016-01,Rhode Island,7.370967741935483,0,0.6548387096774194,Rhode Island
40,2016-01,South Carolina,4.096774193548387,0,0.3612903225806452,South Carolina
41,2016-01,South Dakota,2.7419354838709675,0,0.2645161290322581,South Dakota
42,2016-01,Tennessee,4.311827956989247,0,0.3811827956989246,Tennessee
43,2016-01,Texas,5.55470737913486,0,0.4903307888040713,Texas
44,2016-01,Utah,8.076923076923077,0,0.6980769230769229,Utah
45,2016-01,Vermont,2.634408602150537,0,0.24731182795698936,Vermont
46,2016-01,Virginia,4.963157894736842,0,0.4326315789473683,Virginia
47,2016-01,Washington,6.933884297520661,0,0.6123966942148757,Washington
48,2016-01,West Virginia,4.161290322580645,0,0.37204301075268825,West Virginia
49,2016-01,Wisconsin,4.137931034482759,0,0.3689655172413793,Wisconsin
50,2016-01,Wyoming,1.9193548387096773,0,0.19032258064516128,Wyoming
51,2016-02,Alabama,6.252873563218392,1,0.5494252873563218,Alabama
52,2016-02,Alaska,12.275862068965518,1,1.0758620689655172,Alaska
53,2016-02,Arizona,8.026978417266188,1,0.7016187050359705,Arizona
54,2016-02,Arkansas,5.068965517241379,1,0.43448275862068975,Arkansas
55,2016-02,California,6.849653808110782,1,0.6015825914935712,California
56,2016-02,Colorado,6.631372549019607,1,0.5792156862745101,Colorado
57,2016-02,Connecticut,4.4413793103448285,1,0.3944827586206897,Connecticut
58,2016-02,Delaware,4.379310344827586,1,0.3896551724137932,Delaware
59,2016-02,District of Columbia,7.224137931034483,1,0.6224137931034481,District of Columbia
60,2016-02,Florida,5.0760368663594475,1,0.448617511520738,Florida
61,2016-02,Georgia,7.651162790697675,1,0.6744186046511629,Georgia
62,2016-02,Hawaii,5.64367816091954,1,0.4977011494252882,Hawaii
63,2016-02,Idaho,7.482758620689656,1,0.6620689655172409,Idaho
64,2016-02,Illinois,3.571428571428572,1,0.3250000000000001,Illinois
65,2016-02,Indiana,4.882758620689655,1,0.43931034482758585,Indiana
66,2016-02,Iowa,2.63953488372093,1,0.2569767441860464,Iowa
67,2016-02,Kansas,3.6666666666666665,1,0.32592592592592595,Kansas
68,2016-02,Kentucky,4.119047619047619,1,0.3702380952380952,Kentucky
69,2016-02,Louisiana,5.310344827586206,1,0.4655172413793104,Louisiana
70,2016-02,Maine,2.8735632183908044,1,0.26551724137931026,Maine
71,2016-02,Maryland,3.262068965517241,1,0.2979310344827581,Maryland
72,2016-02,Massachusetts,4.0,1,0.35705882352941104,Massachusetts
73,2016-02,Michigan,4.578544061302682,1,0.4053639846743296,Michigan
74,2016-02,Minnesota,2.9242424242424243,1,0.26515151515151525,Minnesota
