Date,STATE,Unnamed: 0,V1,POC,Daily Max 8-hour CO Concentration,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,STATE_CODE
2016-02,Michigan,5479637,5479637,261,105.80000000000003,1195,6239,25996,10988361,6786
2016-02,Minnesota,4726423,4726423,198,52.500000000000014,579,4521,18838,8335998,5346
2016-02,Mississippi,733033,733033,29,10.500000000000004,114,696,2900,1220929,812
2016-02,Missouri,2261304,2261304,87,35.99999999999999,412,2072,8634,3662787,2523
2016-02,Montana,1559127,1559127,174,10.299999999999988,103,1381,5754,2441858,1740
2016-02,Nebraska,1600568,1600568,58,24.000000000000007,268,1392,5800,2441858,1798
2016-02,Nevada,5931979,5931979,203,156.60000000000008,1790,4807,20029,8546503,6496
2016-02,New Hampshire,1789503,1789503,58,12.999999999999996,132,1339,5579,2441858,1914
2016-02,New Jersey,5651397,5651397,173,79.30000000000003,893,4015,16731,7283473,5882
2016-02,New Mexico,1979482,1979482,58,20.399999999999995,231,1326,5526,2441858,2030
2016-02,New York,9089350,9089350,252,73.29999999999984,794,5858,24410,10609452,9072
2016-02,North Carolina,2207306,2207306,174,19.7,216,1380,5750,2441858,2146
2016-02,North Dakota,1124939,1124939,29,6.3000000000000025,63,684,2850,1220929,1102
2016-02,Ohio,16650036,16650036,403,140.50000000000014,1585,9434,39311,16966703,15717
2016-02,Oklahoma,5079657,5079657,114,41.29999999999999,463,2660,11084,4799514,4560
2016-02,Oregon,2646134,2646134,58,31.000000000000007,355,1392,5800,2441858,2378
2016-02,Pennsylvania,15285523,15285523,348,117.30000000000001,1326,7514,31310,13430219,13398
2016-02,Rhode Island,2915718,2915718,58,31.400000000000006,351,1318,5493,2441858,2552
2016-02,South Carolina,2230796,2230796,29,8.8,97,686,2858,1220929,1305
2016-02,South Dakota,2240453,2240453,87,7.5,76,696,2900,1220929,1334
2016-02,Tennessee,12806846,12806846,163,62.99999999999997,723,3797,15823,6862463,7661
2016-02,Texas,30502262,30502262,486,183.09999999999982,2095,8768,36535,15745774,17952
2016-02,Utah,2439277,2439277,29,22.500000000000004,256,696,2900,1220929,1421
2016-02,Vermont,7406049,7406049,87,19.800000000000004,204,2007,8364,3662787,4350
2016-02,Virginia,16088828,16088828,185,67.89999999999999,769,4404,18350,7788685,9435
2016-02,Washington,9850388,9850388,168,69.30000000000001,784,2491,10380,4673211,5883
2016-02,West Virginia,7810251,7810251,87,30.8,347,2024,8436,3662787,4698
2016-02,Wisconsin,5257352,5257352,58,20.199999999999996,231,1392,5800,2441858,3190
2016-02,Wyoming,5483001,5483001,58,9.700000000000001,97,1157,4829,2441858,3248
2016-03,Alabama,37324,37324,124,44.19999999999999,507,2127,8865,3915393,93
2016-03,Alaska,73346,73346,62,42.30000000000001,486,1488,6200,2610262,124
2016-03,Arizona,8237041,8237041,620,321.7999999999993,3652,14829,61787,26102620,2480
2016-03,Arkansas,974175,974175,62,10.200000000000003,111,744,3100,1305131,155
2016-03,California,140104015,140104015,3357,921.0999999999985,10424,50886,212064,92201190,13140
2016-03,Colorado,25567713,25567713,338,131.10000000000008,1521,6415,26731,11619876,2208
2016-03,Connecticut,14847388,14847388,155,54.500000000000064,609,3694,15393,6525655,1395
2016-03,Delaware,3003156,3003156,31,12.299999999999999,139,722,3008,1305131,310
2016-03,District Of Columbia,8795799,8795799,90,53.099999999999994,608,2136,8900,3789090,990
2016-03,Florida,46778011,46778011,494,206.99999999999966,2357,10976,45735,19492763,5556
2016-03,Georgia,108813,108813,61,42.19999999999999,478,1423,5929,2568161,793
2016-03,Hawaii,244674,244674,122,53.00000000000002,592,2073,8642,3873292,1380
2016-03,Idaho,340039,340039,93,38.99999999999999,434,2217,9238,3915393,1488
2016-03,Illinois,355009,355009,76,26.600000000000005,292,1766,7359,3199676,1292
2016-03,Indiana,905070,905070,152,63.59999999999996,704,3598,14993,6399352,2736
2016-03,Iowa,680572,680572,92,26.399999999999988,284,2141,8922,3873292,1748
2016-03,Kansas,251844,251844,31,8.999999999999998,97,744,3100,1305131,620
2016-03,Kentucky,814897,814897,93,31.00000000000001,344,2207,9195,3915393,1953
2016-03,Louisiana,596161,596161,62,24.199999999999992,266,1459,6079,2610262,1364
2016-03,Maine,957196,957196,91,23.500000000000004,248,2058,8574,3831191,2093
2016-03,Maryland,2544511,2544511,155,44.99999999999996,489,3674,15308,6525655,3720
2016-03,Massachusetts,3418432,3418432,186,57.89999999999991,631,4340,18082,7830786,4650
2016-03,Michigan,5476591,5476591,260,117.49999999999994,1345,6113,25471,10946260,6760
2016-03,Minnesota,5134962,5134962,215,65.20000000000006,711,4983,20761,9051715,5805
2016-03,Mississippi,784517,784517,31,9.1,97,737,3071,1305131,868
2016-03,Missouri,2080489,2080489,80,32.29999999999999,374,1858,7742,3368080,2320
2016-03,Montana,1668513,1668513,186,11.699999999999987,117,1475,6146,2610262,1860
2016-03,Nebraska,1712812,1712812,62,25.999999999999996,291,1488,6200,2610262,1922
2016-03,Nevada,6230545,6230545,213,92.70000000000002,1040,4977,20739,8967513,6816
2016-03,New Hampshire,1914777,1914777,62,13.199999999999992,132,1476,6150,2610262,2046
2016-03,New Jersey,6081828,6081828,186,79.50000000000001,896,4434,18476,7830786,6324
2016-03,New Mexico,2117858,2117858,62,20.100000000000005,223,1420,5917,2610262,2170
2016-03,New York,9858497,9858497,273,85.69999999999989,944,6349,26457,11493573,9828
2016-03,North Carolina,2361394,2361394,186,20.40000000000001,227,1465,6104,2610262,2294
2016-03,North Dakota,1203451,1203451,31,6.700000000000003,67,732,3050,1305131,1178
2016-03,Ohio,17816647,17816647,431,140.39999999999984,1552,10174,42394,18145531,16809
2016-03,Oklahoma,5530090,5530090,124,45.599999999999994,519,2948,12284,5220524,4960
2016-03,Oregon,2830486,2830486,62,27.49999999999998,315,1481,6171,2610262,2542
2016-03,Pennsylvania,16206059,16206059,369,113.80000000000005,1295,8041,33506,14230138,14196
2016-03,Rhode Island,3118662,3118662,62,30.199999999999992,338,1440,6000,2610262,2728
2016-03,South Carolina,2385574,2385574,31,8.8,97,721,3004,1305131,1395
2016-03,South Dakota,2395897,2395897,93,6.900000000000004,70,744,3100,1305131,1426
2016-03,Tennessee,14608161,14608161,186,71.10000000000004,805,4313,17973,7830786,8742
2016-03,Texas,32875407,32875407,527,152.00000000000017,1717,9518,39661,16966703,19344
2016-03,Utah,4636523,4636523,55,30.199999999999985,350,1287,5362,2315555,2695
2016-03,Vermont,7919601,7919601,93,21.100000000000026,223,2197,9155,3915393,4650
2016-03,Virginia,16525868,16525868,190,70.30000000000003,793,4472,18633,7999190,9690
2016-03,Washington,9502691,9502691,160,49.49999999999999,557,2212,9221,4504807,5671
2016-03,West Virginia,6638354,6638354,74,27.500000000000004,315,1709,7122,3115474,3996
2016-03,Wisconsin,5621788,5621788,62,20.299999999999997,233,1438,5993,2610262,3410
2016-03,Wyoming,5768569,5768569,61,9.4,94,1384,5768,2568161,3416
2016-04,Alabama,38865,38865,120,40.6,462,2092,8718,3789090,90
2016-04,Alaska,47004,47004,37,11.500000000000007,123,875,3646,1557737,74
2016-04,Arizona,3185986,3185986,237,108.09999999999998,1217,5355,22310,9977937,948
2016-04,Arkansas,943665,943665,60,9.100000000000001,97,706,2942,1263030,150
2016-04,California,138250836,138250836,3293,770.4999999999998,8618,50137,208926,91148665,12990
2016-04,Colorado,24366238,24366238,323,108.50000000000009,1266,6094,25396,11072563,2104
2016-04,Connecticut,14373015,14373015,150,45.600000000000065,508,3516,14651,6315150,1350
2016-04,Delaware,2907195,2907195,30,7.9,83,714,2975,1263030,300
2016-04,District Of Columbia,11627143,11627143,119,74.79999999999997,849,2792,11633,5010019,1309
2016-04,Florida,41373732,41373732,439,149.49999999999997,1669,9664,40267,17219309,4908
2016-04,Georgia,108990,108990,60,45.599999999999994,517,1420,5917,2526060,780
2016-04,Hawaii,236678,236678,116,39.90000000000003,459,1977,8239,3704888,1320
2016-04,Idaho,331815,331815,90,41.299999999999976,465,2109,8788,3789090,1440
2016-04,Illinois,403305,403305,87,25.599999999999987,281,2022,8426,3662787,1479
2016-04,Indiana,899805,899805,150,68.79999999999994,772,3556,14818,6315150,2700
2016-04,Iowa,660699,660699,89,21.499999999999975,224,2074,8641,3746989,1691
2016-04,Kansas,244635,244635,30,6.800000000000001,69,720,3000,1263030,600
2016-04,Kentucky,754833,754833,86,27.7,305,1999,8330,3620686,1806
2016-04,Louisiana,550320,550320,57,16.30000000000001,175,1331,5546,2399757,1254
2016-04,Maine,950115,950115,90,21.700000000000006,227,2020,8420,3789090,2070
2016-04,Maryland,2402571,2402571,146,36.89999999999996,393,3460,14417,6146746,3504
2016-04,Massachusetts,3123617,3123617,170,49.19999999999993,527,3911,16297,7157170,4250
2016-04,Michigan,5577962,5577962,265,115.39999999999989,1312,6242,26010,11156765,6890
2016-04,Minnesota,5019855,5019855,210,54.599999999999966,597,5007,20863,8841210,5670
2016-04,Mississippi,760125,760125,30,9.599999999999996,104,681,2837,1263030,840
2016-04,Missouri,2190078,2190078,84,29.500000000000004,336,1974,8226,3536484,2436
2016-04,Montana,1616520,1616520,180,11.899999999999986,119,1418,5909,2526060,1800
2016-04,Nebraska,1659390,1659390,60,20.300000000000004,223,1440,6000,2526060,1860
2016-04,Nevada,6149115,6149115,210,71.90000000000003,803,4993,20804,8841210,6720
2016-04,New Hampshire,1854840,1854840,60,11.89999999999999,119,1429,5954,2526060,1980
2016-04,New Jersey,5891130,5891130,180,64.09999999999994,721,4289,17871,7578180,6120
2016-04,New Mexico,1913828,1913828,56,13.59999999999999,141,1156,4817,2357656,1960
2016-04,New York,9761505,9761505,270,70.6999999999998,764,6375,26564,11367270,9720
2016-04,North Carolina,2287050,2287050,180,16.4,171,1351,5631,2526060,2220
2016-04,North Dakota,1165545,1165545,30,5.8000000000000025,58,713,2971,1263030,1140
2016-04,Ohio,17374860,17374860,420,154.09999999999994,1727,9995,41648,17682420,16380
2016-04,Oklahoma,5355360,5355360,120,42.50000000000001,489,2861,11921,5052120,4800
2016-04,Oregon,2236660,2236660,49,23.700000000000006,273,1126,4691,2062949,2009
2016-04,Pennsylvania,15783408,15783408,359,104.89999999999996,1186,7778,32409,13851229,13818
2016-04,Rhode Island,3019890,3019890,60,26.799999999999986,299,1370,5709,2526060,2640
2016-04,South Carolina,2155538,2155538,28,6.6000000000000005,67,653,2721,1178828,1260
2016-04,South Dakota,2319525,2319525,90,7.100000000000002,74,720,3000,1263030,1380
2016-04,Tennessee,13753995,13753995,175,62.80000000000002,711,4093,17054,7367675,8225
2016-04,Texas,31415355,31415355,505,137.80000000000027,1557,9038,37660,16208885,18480
2016-04,Utah,5058660,5058660,60,23.799999999999994,269,1440,6000,2526060,2940
2016-04,Vermont,7666875,7666875,90,16.70000000000001,168,2136,8900,3789090,4500
2016-04,Virginia,17114291,17114291,197,54.79999999999997,602,4618,19243,8293897,10047
2016-04,Washington,8975198,8975198,145,57.09999999999997,638,2312,9635,4252201,5353
2016-04,West Virginia,8084445,8084445,90,27.800000000000015,297,2048,8536,3789090,4860
2016-04,Wisconsin,5442270,5442270,60,19.5,218,1440,6000,2526060,3300
2016-04,Wyoming,5580911,5580911,59,8.700000000000003,87,959,3997,2483959,3304
2016-05,Alabama,42997,42997,124,40.19999999999999,454,2137,8906,3915393,93
2016-05,Alaska,41509,41509,31,7.000000000000002,70,744,3100,1305131,62
2016-05,Arizona,3182730,3182730,236,88.2999999999999,984,5648,23533,9935836,944
2016-05,Arkansas,976066,976066,62,8.900000000000002,95,744,3100,1305131,155
2016-05,California,142036990,142036990,3341,613.9000000000024,6697,51853,216086,93716826,13356
2016-05,Colorado,25113245,25113245,333,102.49999999999997,1169,6289,26209,11409371,2168
2016-05,Connecticut,14856843,14856843,155,52.000000000000036,582,3705,15438,6525655,1395
2016-05,Delaware,3005047,3005047,31,8.3,87,744,3100,1305131,310
2016-05,District Of Columbia,12119264,12119264,124,75.99999999999999,859,2934,12225,5220524,1364
2016-05,Florida,47225954,47225954,498,197.20000000000002,2211,11045,46022,19661167,5604
2016-05,Georgia,114514,114514,62,40.2,457,1480,6167,2610262,806
2016-05,Hawaii,247464,247464,120,40.10000000000007,464,2049,8537,3831191,1365
2016-05,Idaho,345712,345712,93,33.89999999999999,376,2214,9226,3915393,1488
2016-05,Illinois,432822,432822,93,27.2,305,2232,9300,3915393,1581
2016-05,Indiana,934526,934526,155,72.79999999999993,819,3626,15114,6525655,2790
2016-05,Iowa,693594,693594,93,28.299999999999994,306,2170,9043,3915393,1767
2016-05,Kansas,253735,253735,31,10.200000000000001,112,720,3000,1305131,620
2016-05,Kentucky,820446,820446,93,26.99999999999998,297,2181,9088,3915393,1953
2016-05,Louisiana,561820,561820,58,20.400000000000006,231,1352,5634,2441858,1276
2016-05,Maine,984622,984622,93,19.400000000000038,197,2119,8831,3915393,2139
2016-05,Maryland,2502239,2502239,152,39.099999999999966,417,3534,14726,6399352,3648
2016-05,Massachusetts,3352780,3352780,182,51.09999999999992,549,4263,17763,7662382,4550
2016-05,Michigan,5860741,5860741,278,123.50000000000001,1408,6624,27601,11704078,7228
2016-05,Minnesota,5147291,5147291,215,66.80000000000001,750,5087,21198,9051715,5805
2016-05,Mississippi,786408,786408,31,8.500000000000002,90,737,3071,1305131,868
2016-05,Missouri,2425130,2425130,93,38.59999999999997,447,2222,9259,3915393,2697
2016-05,Montana,1672295,1672295,186,13.099999999999982,131,1461,6088,2610262,1860
2016-05,Nebraska,1716594,1716594,62,18.40000000000001,199,1488,6200,2610262,1922
2016-05,Nevada,6360704,6360704,217,55.80000000000015,609,5132,21384,9135917,6944
2016-05,New Hampshire,1887421,1887421,61,11.699999999999994,117,1371,5713,2568161,2013
2016-05,New Jersey,5965712,5965712,182,68.9,781,4342,18091,7662382,6188
2016-05,New Mexico,2087102,2087102,61,11.799999999999999,118,1408,5867,2568161,2135
2016-05,New York,9386087,9386087,259,79.09999999999972,868,5971,24880,10904159,9324
2016-05,North Carolina,2365176,2365176,186,16.7,177,1445,6021,2610262,2294
2016-05,North Dakota,1205342,1205342,31,6.200000000000003,62,725,3021,1305131,1178
2016-05,Ohio,17927109,17927109,433,164.7999999999998,1844,10254,42726,18229733,16887
2016-05,Oklahoma,5537654,5537654,124,38.60000000000003,422,2931,12213,5220524,4960
2016-05,Oregon,2696305,2696305,59,18.700000000000006,206,1399,5829,2483959,2419
2016-05,Pennsylvania,16277457,16277457,368,118.50000000000009,1332,8041,33506,14272239,14238
2016-05,Rhode Island,3122444,3122444,62,27.09999999999999,302,1415,5897,2610262,2728
2016-05,South Carolina,2156322,2156322,28,4.700000000000001,47,639,2663,1178828,1260
2016-05,South Dakota,2397788,2397788,93,8.100000000000001,85,737,3071,1305131,1426
2016-05,Tennessee,12234247,12234247,156,52.500000000000014,588,3684,15350,6567756,7332
2016-05,Texas,32569117,32569117,523,139.30000000000038,1564,9311,38801,16798299,19152
2016-05,Utah,5229173,5229173,62,29.599999999999998,327,1478,6158,2610262,3038
2016-05,Vermont,7925274,7925274,93,20.000000000000004,210,2177,9071,3915393,4650
2016-05,Virginia,18870764,18870764,217,59.59999999999998,656,5089,21205,9135917,11067
2016-05,Washington,10747788,10747788,180,43.59999999999998,496,2788,11617,5094221,6413
2016-05,West Virginia,8356763,8356763,93,33.800000000000004,383,2200,9168,3915393,5022
2016-05,Wisconsin,5625570,5625570,62,19.6,223,1482,6175,2610262,3410
2016-05,Wyoming,4824384,4824384,51,6.300000000000004,63,939,3918,2147151,2856
2016-06,Alabama,44355,44355,120,43.400000000000006,499,2029,8457,3789090,90
2016-06,Alaska,41085,41085,30,6.600000000000003,67,714,2975,1263030,60
2016-06,Arizona,3096469,3096469,228,81.99999999999991,929,5403,22512,9599028,912
2016-06,Arkansas,945495,945495,60,8.899999999999999,92,711,2963,1263030,150
2016-06,California,135926738,135926738,3236,680.2000000000073,7493,49541,206449,89506726,12756
2016-06,Colorado,24010190,24010190,319,95.10000000000005,1098,5738,23912,10904159,2072
2016-06,Connecticut,14382165,14382165,150,44.900000000000034,502,3559,14830,6315150,1350
2016-06,Delaware,2909025,2909025,30,7.5,78,706,2942,1263030,300
2016-06,District Of Columbia,11731980,11731980,120,51.699999999999996,599,2852,11884,5052120,1320
2016-06,Florida,46686487,46686487,490,176.49999999999977,1972,10831,45131,19408561,5532
2016-06,Georgia,112650,112650,60,43.90000000000001,502,1440,6000,2526060,780
2016-06,Hawaii,247455,247455,120,41.50000000000004,475,2021,8423,3789090,1350
2016-06,Idaho,288074,288074,77,26.200000000000003,286,1819,7580,3241777,1232
2016-06,Illinois,421605,421605,90,25.299999999999997,285,2154,8975,3789090,1530
2016-06,Indiana,908955,908955,150,72.49999999999996,818,3497,14577,6315150,2700
2016-06,Iowa,673965,673965,90,22.099999999999973,230,2078,8659,3789090,1710
2016-06,Kansas,188876,188876,23,7.099999999999999,77,527,2196,968323,460
2016-06,Kentucky,567880,567880,64,18.400000000000002,202,1479,6164,2694464,1344
2016-06,Louisiana,582210,582210,60,26.300000000000004,289,1410,5875,2526060,1320
2016-06,Maine,955605,955605,90,16.099999999999998,162,2063,8597,3789090,2070
2016-06,Maryland,2329035,2329035,141,31.999999999999947,343,3314,13808,5936241,3384
2016-06,Massachusetts,3289055,3289055,178,45.399999999999984,475,4143,17265,7493978,4450
2016-06,Michigan,5700645,5700645,270,113.30000000000004,1293,6430,26792,11367270,7020
2016-06,Minnesota,4986762,4986762,208,49.699999999999996,551,4955,20646,8757008,5616
2016-06,Mississippi,761955,761955,30,7.000000000000002,72,720,3000,1263030,840
2016-06,Missouri,2349645,2349645,90,32.4,373,2160,9000,3789090,2610
2016-06,Montana,1539651,1539651,165,10.999999999999988,110,1332,5551,2399757,1710
2016-06,Nebraska,1663050,1663050,60,19.499999999999996,220,1440,6000,2526060,1860
2016-06,Nevada,6161925,6161925,210,58.50000000000014,640,4995,20813,8841210,6720
2016-06,New Hampshire,1858470,1858470,60,9.799999999999995,98,1440,6000,2526060,1980
2016-06,New Jersey,5901990,5901990,180,62.79999999999996,702,4320,18000,7578180,6120
2016-06,New Mexico,2054880,2054880,60,12.699999999999992,130,1303,5431,2526060,2100
