Year,STATE,yearly_aqi_value,Date_Keys,DM8CO_Concentration
2016,Alabama,5.9194931239298425,5.5,0.5178121553035229
2016,Alaska,6.9977958924120855,5.5,0.6223347471498195
2016,Arizona,5.569933190584046,5.5,0.4918053002843757
2016,Arkansas,4.2346001730317635,5.5,0.37557069583487834
2016,California,5.012725573498574,5.5,0.44412627727314263
2016,Colorado,5.789479820479708,5.5,0.5057739465824495
2016,Connecticut,4.1013755433054655,5.5,0.3655412668457721
2016,Delaware,4.012287958843159,5.5,0.36201651526387346
2016,District of Columbia,7.389406416075562,5.5,0.6459676418706343
2016,Florida,4.770178588800044,5.5,0.4232247615022277
2016,Georgia,8.311988589797835,5.5,0.732487207369359
2016,Hawaii,4.619657352872558,5.5,0.4082908612244787
2016,Idaho,4.796138933556614,5.5,0.42519632827668347
2016,Illinois,3.121577767974502,5.5,0.28432999213915144
2016,Indiana,5.506461945009648,5.5,0.4893969708793621
2016,Iowa,2.9124145172819063,5.5,0.2743112260664114
2016,Kansas,3.6796575502571294,5.5,0.33319875158000445
2016,Kentucky,3.9043432500623045,5.5,0.34895163804661894
2016,Louisiana,5.243893312257284,5.5,0.46831826623473777
2016,Maine,2.3817392824423584,5.5,0.22665723299483043
2016,Maryland,2.9118281634256866,5.5,0.26927758332310586
2016,Massachusetts,3.4859015120175862,5.5,0.31886045726734713
2016,Michigan,5.028107230480168,5.5,0.4408138992221735
2016,Minnesota,3.3524959606830063,5.5,0.3018270105096108
2016,Mississippi,3.4376220491904586,5.5,0.3204860338647881
2016,Missouri,4.704227515257616,5.5,0.4109082574475511
2016,Montana,2.4068627990347364,5.5,0.2325045968823614
2016,Nebraska,4.423161130951219,5.5,0.39739093632301
2016,Nevada,5.670634309138191,5.5,0.5029094644171419
2016,New Hampshire,1.8852908973640006,5.5,0.1875515414456647
2016,New Jersey,5.018618175023975,5.5,0.4433373089906624
2016,New Mexico,3.628487669074774,5.5,0.32970639261544604
2016,New York,3.2342843948106954,5.5,0.2965138087047304
2016,North Carolina,3.7600124232428467,5.5,0.3423509042994854
2016,North Dakota,2.0108955938697317,5.5,0.19945873501421332
2016,Ohio,4.042715717206209,5.5,0.3611573086598674
2016,Oklahoma,3.829701288016936,5.5,0.3438927010626926
2016,Oregon,4.618369261187398,5.5,0.41080454522811244
2016,Pennsylvania,3.9459389877285154,5.5,0.3502731297184833
2016,Rhode Island,5.863987764182425,5.5,0.5234437955753305
2016,South Carolina,2.921166112440527,5.5,0.26812430965155803
2016,South Dakota,2.493211593128167,5.5,0.24083487825979485
2016,Tennessee,4.0569750136720995,5.5,0.36027586751200763
2016,Texas,4.5030413508657,5.5,0.4012501199840432
2016,Utah,6.57636664737963,5.5,0.5789243109057621
2016,Vermont,2.387098834095497,5.5,0.22191653277304013
2016,Virginia,3.799588662998995,5.5,0.3390131767935709
2016,Washington,4.568759873173564,5.5,0.4070821086984784
2016,West Virginia,3.7882674443657582,5.5,0.3398589844484472
2016,Wisconsin,3.222314592562236,5.5,0.29589891139602814
2016,Wyoming,1.7192483384491781,5.5,0.17164674708184768
2017,Alabama,5.2773613605719145,17.5,0.461136674630088
2017,Alaska,6.6830745106148335,17.5,0.5945656386624129
2017,Arizona,5.204656577014982,17.5,0.4627328588390778
2017,Arkansas,5.527566564260113,17.5,0.4783358934971839
2017,California,5.157990603368918,17.5,0.45583832585511347
2017,Colorado,5.204654946713042,17.5,0.4576398531503687
2017,Connecticut,4.092865431912233,17.5,0.3637992569229351
2017,Delaware,3.903408078919517,17.545454545454547,0.3513555733814959
2017,District of Columbia,5.373949659093971,17.5,0.4731864270892285
2017,Florida,4.500982823035403,17.5,0.39743651383064077
2017,Georgia,7.252880713724843,17.5,0.6369080713183318
2017,Hawaii,3.8300528770148325,17.5,0.32436590511752267
